prompt,completion
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
* {    padding: 0;    margin: 0;}","@media (max-width: 375px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 376px) and (max-width: 480px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 481px) and (max-width: 620px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 621px) and (max-width: 768px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 769px) and (max-width: 990px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 991px) and (max-width: 1200px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
* {    padding: 0;    margin: 0;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
* {    padding: 0;    margin: 0;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}","@media (max-width: 375px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 376px) and (max-width: 480px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 481px) and (max-width: 620px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 621px) and (max-width: 768px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 769px) and (max-width: 990px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 991px) and (max-width: 1200px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
html,body {    font-family: Montserrat,Helvetica,Arial,sans-serif;    font-style: normal;    font-weight: normal;    overflow-x: hidden;    background-color: #EAEDED;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}","@media (max-width: 375px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 376px) and (max-width: 480px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 481px) and (max-width: 620px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 621px) and (max-width: 768px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 769px) and (max-width: 990px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.topbar {    background-color: #131921;    color: #ffffff;    width: 100%;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.deliver-to {    display: flex;    align-items: center;}","@media (max-width: 375px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 376px) and (max-width: 480px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 481px) and (max-width: 620px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 621px) and (max-width: 768px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 769px) and (max-width: 990px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.deliver-to {    display: flex;    align-items: center;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.deliver-to {    display: flex;    align-items: center;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.deliver-icon {    margin-top: 10px;}","@media (max-width: 375px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.deliver-icon {    margin-top: 10px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.deliver-icon {    margin-top: 10px;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.top-menu span {    display: block;}","@media (max-width: 375px) {
.top-menu span {    display: block;}
}
@media (min-width: 376px) and (max-width: 480px) {
.top-menu span {    display: block;}
}
@media (min-width: 481px) and (max-width: 620px) {
.top-menu span {    display: block;}
}
@media (min-width: 621px) and (max-width: 768px) {
.top-menu span {    display: block;}
}
@media (min-width: 769px) and (max-width: 990px) {
.top-menu span {    display: block;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.top-menu span {    display: block;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.top-menu span {    display: block;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.top-menu span {    display: block;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.top-menu span {    display: block;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}","@media (max-width: 375px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 376px) and (max-width: 480px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 481px) and (max-width: 620px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 621px) and (max-width: 768px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 769px) and (max-width: 990px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.top-menu .line-1 {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}","@media (max-width: 375px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 376px) and (max-width: 480px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 481px) and (max-width: 620px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 621px) and (max-width: 768px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 769px) and (max-width: 990px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.top-menu .line-2 {    color: #FFFFFF;    font-size: 14px;    line-height: 15px;    font-weight: 700;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}","@media (max-width: 375px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 376px) and (max-width: 480px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 481px) and (max-width: 620px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 621px) and (max-width: 768px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 769px) and (max-width: 990px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.top-menu p {    color: #CCCCCC;    font-size: 12px;    font-family: Montserrat, Helvetica, Arial, sans-serif;}
}"
"Below is the CSS attributes for a media query with a width of X. Give me the CSS attributes for media queries for widths of 375px, 480px, 620px, 768px, 990px, 1200px, 1400px, 1600px, and 1920px.
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}","@media (max-width: 375px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 376px) and (max-width: 480px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 481px) and (max-width: 620px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 621px) and (max-width: 768px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 769px) and (max-width: 990px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 991px) and (max-width: 1200px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 1201px) and (max-width: 1400px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 1401px) and (max-width: 1600px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}
@media (min-width: 1601px) and (max-width: 1920px) {
.top-middle {    width: 52% !important;    margin: 0 25px;    margin-top: 10px;}
}"
